,ID,Date,Likes,Content
297,1473189320982876160,2021-12-21 07:11:19+00:00,19590,"You guys conquered #KGFChapter1 on the big screens like your own. Thank you for all the love and support. 
Cant wait for the world to witness #KGFChapter2 on April 14th 2022.
#3YearsforKGF
https://t.co/A2FQc9wgyB"
293,1479656384408875010,2022-01-08 03:29:07+00:00,19568,"Caution⚠️ Danger ahead !
Birthday wishes to our ROCKY BHAI @Thenameisyash.
#KGFChapter2 @prashanth_neel @VKiragandur @HombaleGroup @duttsanjay @TandonRaveena @SrinidhiShetty7 @VaaraahiCC @excelmovies
@AAFilmsIndia @DreamWarriorpic @PrithvirajProd 
#KGF2onApr14 #HBDRockingStarYash https://t.co/TVeHXcsCzx"
61,1519930259352985600,2022-04-29 06:43:07+00:00,19376,"Which Film has Bigger experience???

#BEASTKwHighestGrosser2022 #KGF2 #YashBOSS #Thalapathy66 https://t.co/qPcjijQZsX

🔄 #Beast ❤ #KGFChapter2 https://t.co/Ex6KCC97nu"
206,1514426211195580419,2022-04-14 02:12:00+00:00,19279,"#KGFChapter2 [4/5] : A Movie for the Masses! 🔥 

An Action Entertainer with an Emotional Touch of Epic Proportions! 

This is the kind of movie of Indian Cinema should be making! 

Non-stop Entertainment!"
181,1514532663159398402,2022-04-14 09:15:00+00:00,19209,"#Mehabooba audio track releasing today at 4:05 PM.
Stay Tuned to @LahariMusic &amp; @Mrtmusicoff

#KGFChapter2 @Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @excelmovies @AAFilmsIndia @VaaraahiCC @DreamWarriorpic @PrithvirajProd https://t.co/E6GfgpD31u"
316,1382260240825995266,2021-04-14 09:11:37+00:00,18822,"The only place where #kgfchapter2 and #salaar can cross paths is @BasrurRavi studio!!!
Working on music with the magician himself💫 https://t.co/mjj0UGvbXc"
383,1155697965417107456,2019-07-29 04:34:01+00:00,18667,"Presenting #MotherOfAllCollisions @duttsanjay
 as #Adheera. Wishing you a very Happy Birthday Sir.
#SanjayDuttAsAdheera in #KGFChapter2 https://t.co/5NOTgGFsZL"
165,1514799277033549826,2022-04-15 02:54:25+00:00,18611,"All-India BO (Hindi) - Day 1:

Nett:

1. #KGFChapter2 - ₹ 54 Crs (Early Estimates)

2. #Beast - ₹ 50 Lakhs"
363,1232181163944398848,2020-02-25 05:50:56+00:00,18606,"Which film will create a storm at the box office?

🔁#Retweet for #KGFChapter2 
❤️Like for #Master 

#PVRPoll #TuesdayMotivation #TuesdayMorning https://t.co/03VBhoztET"
330,1347759308050583560,2021-01-09 04:17:13+00:00,18580,"What a stunnnjng teaser 💥💥💥 #KGF2
Pride of our Kannada film industry ✨
#KGFChapter2 https://t.co/XaREwwHFHF"
230,1513433029725032449,2022-04-11 08:25:27+00:00,18553,"I AM VIOLENCE @TheNameIsYash 
Please don’t avoid me 🥲❤️

#KGF2InCinemas #KGF2onApr14 
#KGFChapter2 #KGF2 https://t.co/dbKkFZrDxi"
199,1514454315834175490,2022-04-14 04:03:40+00:00,18159,#KGFChapter2 Hindi has beaten #Baahubali2 Hindi for a new All-time Adv Booking record in India..
348,1288347063885787137,2020-07-29 05:34:11+00:00,18009,Here’s wishing you a happy birthday bro @duttsanjay and here’s sharing your first look as ‘Adheera’ from #KGFChapter2 https://t.co/eY0UeAAcPY
146,1514916179084967944,2022-04-15 10:38:57+00:00,17975,"Some theatres in B and C centers are allowing over capacity audience for #KGFChapter2 in TN to meet the demand..

Extra chairs or audience can sit on the floor or watch it standing..

The last time, it happened for #Viswasam in TN.."
